mode,rolling_window_years,use_sample_weight,l1_ratio,c_value,min_recall,threshold,top1,top3,auc,pr_auc,precision,recall,f1,n_folds,backtest_hit1,backtest_hit3,backtest_n,backtest_w_hit1,backtest_w_hit3,top1_std,top3_std,f1_std,auc_std,pr_auc_std,top1_min,top3_min,f1_min,auc_min
expanding,5,False,0.8,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,False,0.8,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,False,0.8,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,False,1.0,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,False,1.0,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,False,1.0,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,True,1.0,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,True,1.0,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,True,1.0,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.0,0.0,0.13995516573871877,0.0,0.1128730965836478,1.0,1.0,0.14285714285714285,0.5
expanding,5,True,0.8,0.05,0.6,0.1,0.9090909090909091,0.9090909090909091,0.4810606060606061,0.17806965761511218,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.28747978728803447,0.28747978728803447,0.13995516573871877,0.05989162235167384,0.11121492257458612,0.0,0.0,0.14285714285714285,0.2916666666666667
