mode,rolling_window_years,use_sample_weight,l1_ratio,c_value,min_recall,threshold,top1,top3,auc,pr_auc,precision,recall,f1,n_folds
rolling,5,False,0.2,0.05,0.8,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6613931523022433,0.3963869463869463,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,True,0.8,0.2,0.6,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.4115384615384615,1.0,0.5212121212121212,11
rolling,5,True,0.8,0.2,0.7,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.4115384615384615,1.0,0.5212121212121212,11
rolling,5,True,0.8,0.2,0.8,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.4115384615384615,1.0,0.5212121212121212,11
rolling,5,True,1.0,0.2,0.6,0.1363636363636364,0.7272727272727273,0.8181818181818182,0.649891774891775,0.45606060606060606,0.32553557553557555,1.0,0.440909090909091,11
rolling,5,True,1.0,0.2,0.7,0.1363636363636364,0.7272727272727273,0.8181818181818182,0.649891774891775,0.45606060606060606,0.32553557553557555,1.0,0.440909090909091,11
rolling,5,True,1.0,0.2,0.8,0.1363636363636364,0.7272727272727273,0.8181818181818182,0.649891774891775,0.45606060606060606,0.32553557553557555,1.0,0.440909090909091,11
rolling,5,True,0.2,0.05,0.6,0.13181818181818183,0.7272727272727273,0.8181818181818182,0.6627705627705628,0.46010101010101007,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,True,0.2,0.05,0.7,0.13181818181818183,0.7272727272727273,0.8181818181818182,0.6627705627705628,0.46010101010101007,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,True,0.2,0.05,0.8,0.13181818181818183,0.7272727272727273,0.8181818181818182,0.6627705627705628,0.46010101010101007,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,True,0.5,0.1,0.6,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,True,0.5,0.1,0.7,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,True,0.5,0.1,0.8,0.14090909090909093,0.7272727272727273,0.8181818181818182,0.658982683982684,0.45909090909090905,0.303824962915872,1.0,0.4151515151515152,11
rolling,5,False,0.5,0.2,0.6,0.20454545454545456,0.6363636363636364,0.8181818181818182,0.7021645021645022,0.49494949494949486,0.38636363636363635,0.8181818181818182,0.4779220779220779,11
rolling,5,False,0.5,0.2,0.7,0.20454545454545456,0.6363636363636364,0.8181818181818182,0.7021645021645022,0.49494949494949486,0.38636363636363635,0.8181818181818182,0.4779220779220779,11
rolling,5,False,0.5,0.2,0.8,0.20454545454545456,0.6363636363636364,0.8181818181818182,0.7021645021645022,0.49494949494949486,0.38636363636363635,0.8181818181818182,0.4779220779220779,11
rolling,5,False,1.0,0.4,0.6,0.21818181818181823,0.6363636363636364,0.8181818181818182,0.6892857142857144,0.4893939393939393,0.34393939393939393,0.8181818181818182,0.45194805194805193,11
rolling,5,False,1.0,0.4,0.7,0.21818181818181823,0.6363636363636364,0.8181818181818182,0.6892857142857144,0.4893939393939393,0.34393939393939393,0.8181818181818182,0.45194805194805193,11
rolling,5,False,1.0,0.4,0.8,0.21818181818181823,0.6363636363636364,0.8181818181818182,0.6892857142857144,0.4893939393939393,0.34393939393939393,0.8181818181818182,0.45194805194805193,11
rolling,5,False,0.8,0.4,0.6,0.30454545454545456,0.36363636363636365,0.8181818181818182,0.7317099567099568,0.5499999999999999,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,False,0.8,0.4,0.7,0.30454545454545456,0.36363636363636365,0.8181818181818182,0.7317099567099568,0.5499999999999999,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,False,0.8,0.4,0.8,0.30454545454545456,0.36363636363636365,0.8181818181818182,0.7317099567099568,0.5499999999999999,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,False,0.2,0.1,0.6,0.17727272727272728,0.36363636363636365,0.8181818181818182,0.7354978354978357,0.551010101010101,0.34393939393939393,0.9090909090909091,0.4627705627705627,11
rolling,5,False,0.2,0.1,0.7,0.17727272727272728,0.36363636363636365,0.8181818181818182,0.7354978354978357,0.551010101010101,0.34393939393939393,0.9090909090909091,0.4627705627705627,11
rolling,5,False,0.2,0.1,0.8,0.17727272727272728,0.36363636363636365,0.8181818181818182,0.7354978354978357,0.551010101010101,0.34393939393939393,0.9090909090909091,0.4627705627705627,11
rolling,5,False,0.2,0.2,0.6,0.31363636363636366,0.2727272727272727,0.8181818181818182,0.6718614718614718,0.5358585858585858,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.2,0.2,0.7,0.31363636363636366,0.2727272727272727,0.8181818181818182,0.6718614718614718,0.5358585858585858,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.2,0.2,0.8,0.31363636363636366,0.2727272727272727,0.8181818181818182,0.6718614718614718,0.5358585858585858,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.0,0.2,0.6,0.3681818181818182,0.18181818181818182,0.8181818181818182,0.7545060999606455,0.5025252525252525,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.0,0.2,0.7,0.3681818181818182,0.18181818181818182,0.8181818181818182,0.7545060999606455,0.5025252525252525,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.0,0.2,0.8,0.3681818181818182,0.18181818181818182,0.8181818181818182,0.7545060999606455,0.5025252525252525,0.4242424242424242,0.8181818181818182,0.5272727272727272,11
rolling,5,False,0.2,0.4,0.6,0.35454545454545466,0.18181818181818182,0.8181818181818182,0.7363242817788272,0.48737373737373735,0.40151515151515144,0.8181818181818182,0.503030303030303,11
rolling,5,False,0.2,0.4,0.7,0.35454545454545466,0.18181818181818182,0.8181818181818182,0.7363242817788272,0.48737373737373735,0.40151515151515144,0.8181818181818182,0.503030303030303,11
